Accession,GOids,GOterms,Score,Signal Peptide,Mitochondrion Transit Peptide,Chloroplast Transit Peptide,Transmembrane Alpha Helix,Transmembrane Beta Strand,GPI-anchor
KAI7840821.1,GO:0009535,C:chloroplast thylakoid membrane,0.78,,,1-30,371-386,,
KAI7840830.1,GO:0005615,C:extracellular space,1.0,1-25,,,,,
KAI7840842.1,GO:0005739,C:mitochondrion,0.73,,1-77,,,,
KAI7840847.1,GO:0005886,C:plasma membrane,0.92,,,,231-247,,
KAI7840864.1,GO:0009707,C:chloroplast outer membrane,0.83,,,1-41,264-275,,
KAI7840866.1,GO:0005615,C:extracellular space,1.0,1-17,,,,,
KAI7840876.1,GO:0009507,C:chloroplast,0.9,,,,,,
KAI7840878.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840879.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840880.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840885.1,GO:0005886,C:plasma membrane,0.9,,,,10-24,,
KAI7840907.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7840908.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840913.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840922.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840923.1,GO:0005886,C:plasma membrane,0.66,,,,109-134;731-749,,
KAI7840931.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840937.1,GO:0005886,C:plasma membrane,0.7,,,,73-97,,
KAI7840944.1,GO:0012505,C:endomembrane system,0.97,,,,9-29;37-64;78-100;106-126;144-166;286-307;341-374;381-404;429-452;547-558;670-681,,
KAI7840948.1,GO:0005615,C:extracellular space,1.0,1-17,,,,,
KAI7840949.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840953.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7840956.1,GO:0012505,C:endomembrane system,0.84,,,,297-326;471-489,,
KAI7840964.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7840974.1,GO:0009543,C:chloroplast thylakoid lumen,0.67,,,1-64,,,
KAI7840975.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840984.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840986.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7840990.1,GO:0005739,C:mitochondrion,0.72,,1-37,,,,
KAI7840998.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841008.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841014.1,GO:0012505,C:endomembrane system,0.75,,,,21-46;382-393;395-409,,
KAI7841017.1,GO:0009707,C:chloroplast outer membrane,0.9,,,1-25,144-160,,
KAI7841018.1,GO:0005886,C:plasma membrane,0.88,,,,29-55;83-105;117-142;203-223;243-263;275-292,,
KAI7841021.1,GO:0005886,C:plasma membrane,0.88,,,,252-263;290-305,,
KAI7841030.1,GO:0005886,C:plasma membrane,0.68,,,,451-462;564-580;733-754,,
KAI7841034.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841040.1,GO:0005886,C:plasma membrane,0.9,,,,117-128;597-621,,
KAI7841041.1,GO:0031090,C:organelle membrane,0.84,,,,38-56;388-399;440-460;467-490,,
KAI7841046.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841059.1,GO:0005739,C:mitochondrion,0.95,,1-64,,,,
KAI7841060.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841070.1,GO:0005739,C:mitochondrion,0.58,,1-30,,,,
KAI7841076.1,GO:0005886,C:plasma membrane,0.93,,,,25-49;57-79;101-125;141-159;166-190;210-234;246-272;291-318;407-441;469-494,,
KAI7841084.1,GO:0009535,C:chloroplast thylakoid membrane,0.77,,,1-58,294-305,,
KAI7841086.1,GO:0031966,C:mitochondrial membrane,0.81,,1-23,,64-83;99-123;144-160;209-227;234-255;276-299;324-356;375-398;419-440;453-474;487-512;522-554,,
KAI7841087.1,GO:0031966,C:mitochondrial membrane,0.81,,1-23,,64-83;99-123;181-203;210-227;234-256;302-325;351-382;400-423;445-466;479-500;514-538;548-580,,
KAI7841103.1,GO:0009535,C:chloroplast thylakoid membrane,0.83,,,1-67,280-291,,
KAI7841105.1,GO:0031966,C:mitochondrial membrane,0.61,,1-38,,308-324,,
KAI7841107.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841109.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841110.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841118.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841119.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841121.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841124.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7841136.1,GO:0005886,C:plasma membrane,0.94,,,,1059-1070;1167-1191;1207-1225,,
KAI7841151.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841152.1,GO:0009543,C:chloroplast thylakoid lumen,0.84,,,1-60,,,
KAI7841153.1,GO:0009543,C:chloroplast thylakoid lumen,0.84,,,1-60,,,
KAI7841157.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841158.1,GO:0005886,C:plasma membrane,0.74,,,,551-563;649-670,,
KAI7841165.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841166.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841169.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841171.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841178.1,GO:0009535,C:chloroplast thylakoid membrane,0.69,,,1-23,423-434,,
KAI7841183.1,GO:0005886,C:plasma membrane,0.7,,,,33-49,,
KAI7841194.1,GO:0012505,C:endomembrane system,0.97,,,,23-48;56-77;99-126;142-169;171-182;209-242;262-279;479-502;522-555;1255-1270;1298-1313,,
KAI7841195.1,GO:0031966,C:mitochondrial membrane,0.74,,1-17,,734-758;766-788;811-835;851-869;875-899;919-943;953-981;991-1011;1162-1184;1202-1224;1229-1246;1264-1289,,
KAI7841197.1,GO:0031090,C:organelle membrane,0.63,,,,44-60;111-134;141-169;171-182;197-218,,
KAI7841200.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7841206.1,GO:0009543,C:chloroplast thylakoid lumen,0.84,,,1-43,,,
KAI7841208.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841210.1,GO:0005739,C:mitochondrion,0.86,,1-60,,,,
KAI7841211.1,GO:0005739,C:mitochondrion,0.88,,1-43,,,,
KAI7841213.1,GO:0005615,C:extracellular space,1.0,1-24,,,,,
KAI7841218.1,GO:0031966,C:mitochondrial membrane,0.58,,1-25,,793-804,,
KAI7841219.1,GO:0031966,C:mitochondrial membrane,0.58,,1-25,,825-836,,
KAI7841239.1,GO:0012505,C:endomembrane system,0.98,,,,419-450;739-767;787-809;821-849;872-902;927-950;962-984;987-1009,,
KAI7841247.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841249.1,GO:0005739,C:mitochondrion,0.87,,1-37,,,,
KAI7841253.1,GO:0005615,C:extracellular space,1.0,1-23,,,,,
KAI7841263.1,GO:0031090,C:organelle membrane,0.73,,,,216-227;254-270,,
KAI7841264.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841266.1,GO:0031090,C:organelle membrane,0.65,,,,112-130;268-279,,
KAI7841268.1,GO:0005886,C:plasma membrane,0.89,,,,304-315;761-772,,
KAI7841270.1,GO:0031090,C:organelle membrane,0.87,,,,44-58;192-203,,
KAI7841276.1,GO:0005739,C:mitochondrion,0.82,,1-26,,,,
KAI7841287.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841289.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841295.1,GO:0005739,C:mitochondrion,0.94,,,,,,
KAI7841299.1,GO:0005739,C:mitochondrion,0.86,,1-58,,,,
KAI7841302.1,GO:0005615,C:extracellular space,0.8,,,,,,
KAI7841308.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841322.1,GO:0009507,C:chloroplast,0.68,,,,,,
KAI7841324.1,GO:0005886,C:plasma membrane,0.98,,,,130-141,,
KAI7841330.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841336.1,GO:0005739,C:mitochondrion,0.86,,1-47,,,,
KAI7841351.1,GO:0009507,C:chloroplast,0.78,,,,,,
KAI7841352.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841353.1,GO:0009535,C:chloroplast thylakoid membrane,0.74,,,1-57,137-148;548-562;922-933,,
KAI7841360.1,GO:0005886,C:plasma membrane,0.94,,,,186-207;402-419;446-462,,
KAI7841362.1,GO:0005886,C:plasma membrane,0.7,,,,428-439;813-824;932-952;1172-1192,,
KAI7841363.1,GO:0005886,C:plasma membrane,0.82,,,,13-26;115-131;432-457;725-753;887-905,,
KAI7841366.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7841367.1,GO:0005886,C:plasma membrane,0.91,,,,582-593,,
KAI7841385.1,GO:0031966,C:mitochondrial membrane,0.61,,1-31,,81-102;237-259;263-283,,
KAI7841387.1,GO:0005739,C:mitochondrion,0.78,,1-58,,,,
KAI7841389.1,GO:0012505,C:endomembrane system,0.89,,,,294-318;341-365;398-423;429-449;489-506;518-543;558-585;641-664;666-688;699-721,,
KAI7841390.1,GO:0012505,C:endomembrane system,0.89,,,,295-319;342-366;399-424;430-450;490-507;519-544;559-586;642-658;660-691;698-722,,
KAI7841392.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841397.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841398.1,GO:0031966,C:mitochondrial membrane,0.79,,1-36,,160-176;260-277,,
KAI7841408.1,GO:0005886,C:plasma membrane,0.79,,,,88-113;158-184;212-234;245-272;328-347;349-369;413-439;496-518;521-541;554-583,,
KAI7841412.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7841413.1,GO:0005615,C:extracellular space,0.99,1-19,,,,,
KAI7841419.1,GO:0012505,C:endomembrane system,0.87,,,,160-194,,
KAI7841420.1,GO:0005739,C:mitochondrion,0.78,,1-20,,,,
KAI7841430.1,GO:0012505,C:endomembrane system,0.94,,,,11-40;110-134;140-157;166-191;193-204;210-226;232-251;264-284;294-321;361-380;386-411;413-432;487-513,,
KAI7841432.1,GO:0031090,C:organelle membrane,0.92,,,,142-153,,
KAI7841453.1,GO:0005886,C:plasma membrane,0.86,,,,166-186;251-270;323-334;462-482;537-561;576-593;674-699,,
KAI7841455.1,GO:0009707,C:chloroplast outer membrane,0.85,,,1-44,519-537,,
KAI7841456.1,GO:0031090,C:organelle membrane,0.67,,,,419-441;443-463,,
KAI7841458.1,GO:0012505,C:endomembrane system,0.98,,,,221-232,,
KAI7841462.1,GO:0005739,C:mitochondrion,0.56,,1-25,,,,
KAI7844426.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844434.1,GO:0031090,C:organelle membrane,0.63,,,,274-285;309-326;1546-1564;1615-1626;2242-2259;2269-2293;3245-3263;3318-3329;4642-4660;4707-4718;6071-6089;6141-6152;6785-6802;6812-6837;7766-7784;7833-7844;8357-8374;8384-8407;9644-9662;9705-9716;9961-9982,,
KAI7844436.1,GO:0005739,C:mitochondrion,0.84,,1-35,,,,
KAI7844450.1,GO:0005886,C:plasma membrane,0.93,,,,167-178;184-204,,
KAI7844452.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844455.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844456.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844474.1,GO:0005886,C:plasma membrane,0.77,,,,541-552,,
KAI7844479.1,GO:0031966,C:mitochondrial membrane,0.72,,1-38,,340-355;365-387;528-539,,
KAI7844481.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844482.1,GO:0031090,C:organelle membrane,0.73,,,,261-272,,
KAI7844483.1,GO:0031090,C:organelle membrane,0.77,,,,233-244,,
KAI7844484.1,GO:0005886,C:plasma membrane,0.98,,,,22-45;79-101;109-134;171-190;252-277;289-309;315-338;351-370;389-412;419-437,,
KAI7844494.1,GO:0005739,C:mitochondrion,0.94,,1-44,,,,
KAI7844495.1,GO:0031090,C:organelle membrane,0.65,,,,471-485;930-951,,
KAI7844500.1,GO:0009507,C:chloroplast,0.89,,,,,,
KAI7844508.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844512.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844522.1,GO:0031090,C:organelle membrane,0.75,,,,3-30;524-546;571-592;600-625;760-776,,
KAI7844542.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844544.1,GO:0012505,C:endomembrane system,0.73,,,,12-34;53-80;90-115;117-128;150-176,,
KAI7844549.1,GO:0031090,C:organelle membrane,0.75,,,,654-665,,
KAI7844552.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844557.1,GO:0009535,C:chloroplast thylakoid membrane,0.75,,,1-49,132-143,,
KAI7844572.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844575.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844576.1,GO:0005615,C:extracellular space,0.92,1-27,,,,,
KAI7844580.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844583.1,GO:0005739,C:mitochondrion,0.91,,1-30,,,,
KAI7844588.1,GO:0005886,C:plasma membrane,0.95,,,,215-234,,
KAI7844594.1,GO:0012505,C:endomembrane system,0.99,,,,51-74;228-246;250-270,,
KAI7844604.1,GO:0005886,C:plasma membrane,0.92,,,,44-61;200-224,,
KAI7844607.1,GO:0005615,C:extracellular space,0.88,,,,,,
KAI7844612.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844617.1,GO:0009535,C:chloroplast thylakoid membrane,0.68,,,1-30,36-54,,
KAI7844619.1,GO:0031090,C:organelle membrane,0.82,,,,369-394;466-493,,
KAI7844624.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844634.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844645.1,GO:0031090,C:organelle membrane,0.91,,,,40-51;138-151,,
KAI7844648.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7844649.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844650.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844654.1,GO:0005886,C:plasma membrane,0.68,,,,703-737;753-764;803-835;930-949;1306-1326;1488-1499,,
KAI7844663.1,GO:0031090,C:organelle membrane,0.81,,,,94-109;324-348,,
KAI7844672.1,GO:0005886,C:plasma membrane,0.76,,,,4-25;34-54;69-95;97-108;240-266;278-310;669-702;706-729,,
KAI7844673.1,GO:0031090,C:organelle membrane,0.42,,,,295-309;334-358;365-389,,
KAI7844686.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844688.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844692.1,GO:0031090,C:organelle membrane,0.86,,,,14-30,,
KAI7844693.1,GO:0005615,C:extracellular space,0.99,1-22,,,,,
KAI7844701.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844703.1,GO:0005615,C:extracellular space,0.68,,,,,,
KAI7844711.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844716.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844723.1,GO:0009707,C:chloroplast outer membrane,0.87,,,1-65,87-104,,
KAI7844724.1,GO:0012505,C:endomembrane system,0.86,,,,118-137;173-191,,
KAI7844728.1,GO:0005886,C:plasma membrane,0.74,,,,153-180;313-324,,
KAI7844732.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844737.1,GO:0005886,C:plasma membrane,0.91,,,,51-75;81-104;128-152;171-190;197-220;240-265;279-305;324-353;367-388;391-416;428-456,,
KAI7844740.1,GO:0005886,C:plasma membrane,0.94,,,,297-318,,
KAI7844741.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844766.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844767.1,GO:0009707,C:chloroplast outer membrane,0.81,,,1-53,272-283,,
KAI7844774.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844779.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844792.1,GO:0005886,C:plasma membrane,0.76,,,,7-30;36-57;60-84;94-117;128-147;200-226;240-261;267-290;302-326;339-361;368-387,,
KAI7844798.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844803.1,GO:0012505,C:endomembrane system,0.97,,,,6-23;30-52;78-99;101-119;152-176;196-218;223-242;250-274,,
KAI7844815.1,GO:0005739,C:mitochondrion,0.53,,1-30,,,,
KAI7844816.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844818.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844827.1,GO:0005615,C:extracellular space,1.0,1-23,,,,,
KAI7844831.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844832.1,GO:0005615,C:extracellular space,0.8,,,,,,
KAI7844846.1,GO:0012505,C:endomembrane system,1.0,,,,14-40;102-126,,
KAI7844847.1,GO:0005739,C:mitochondrion,0.91,,1-39,,,,
KAI7844848.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844849.1,GO:0005886,C:plasma membrane,0.93,,,,279-290,,
KAI7844850.1,GO:0005886,C:plasma membrane,0.93,,,,279-290,,
KAI7844855.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844856.1,GO:0031966,C:mitochondrial membrane,0.57,,1-17,,57-68;430-441,,
KAI7844860.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844863.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844885.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844894.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7844903.1,GO:0009707,C:chloroplast outer membrane,0.72,,,1-52,58-80,,
KAI7844904.1,GO:0009707,C:chloroplast outer membrane,0.73,,,1-52,58-80,,
KAI7844906.1,GO:0009535,C:chloroplast thylakoid membrane,0.74,,,1-60,173-192,,
KAI7844913.1,GO:0012505,C:endomembrane system,0.92,1-19,,,92-114;129-154;174-201,,
KAI7844922.1,GO:0031090,C:organelle membrane,0.97,,,,308-319,,
KAI7844925.1,GO:0012505,C:endomembrane system,0.75,,,,546-561;715-736,,
KAI7844928.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7844941.1,GO:0005886,C:plasma membrane,1.0,,,,144-155;801-813;1058-1071;1096-1111,,
KAI7844942.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844943.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7844946.1,GO:0031090,C:organelle membrane,0.73,,,,94-110;263-274,,
KAI7844965.1,GO:0005739,C:mitochondrion,0.9,,1-33,,,,
KAI7844967.1,GO:0005739,C:mitochondrion,0.89,,1-38,,,,
KAI7844968.1,GO:0005739,C:mitochondrion,0.89,,1-38,,,,
KAI7844975.1,GO:0005886,C:plasma membrane,0.94,,,,108-119;459-470;676-687;1062-1079,,
KAI7844982.1,GO:0005886,C:plasma membrane,0.85,,,,20-39;46-72;99-123;189-213;231-258;277-298;303-326;337-364,,
KAI7844987.1,GO:0009507,C:chloroplast,0.84,,,,,,
KAI7844993.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845002.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7845003.1,GO:0005739,C:mitochondrion,0.74,,1-20,,,,
KAI7845014.1,GO:0031090,C:organelle membrane,0.96,,,,144-168,,
KAI7845015.1,GO:0009707,C:chloroplast outer membrane,0.84,,,1-45,88-106,,
KAI7845020.1,GO:0031966,C:mitochondrial membrane,0.7,,1-32,,99-110;118-142;155-179;198-225;249-271;274-308;321-347,,
KAI7845027.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845040.1,GO:0009507,C:chloroplast,0.7,,,,,,
KAI7845053.1,GO:0005886,C:plasma membrane,1.0,,,,501-512;640-656,,
KAI7845054.1,GO:0005739,C:mitochondrion,0.94,,1-37,,,,
KAI7845080.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845081.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845082.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845087.1,GO:0005739,C:mitochondrion,0.89,,1-24,,,,
KAI7845092.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845099.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845109.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845118.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845119.1,GO:0005615,C:extracellular space,0.76,,,,,,
KAI7845120.1,GO:0005739,C:mitochondrion,0.64,,1-22,,,,
KAI7845135.1,GO:0009507,C:chloroplast,0.68,,,,,,
KAI7845137.1,GO:0012505,C:endomembrane system,0.95,,,,36-56;82-102;122-142;157-178;220-238;309-330;346-362,,
KAI7845170.1,GO:0012505,C:endomembrane system,0.92,,,,79-103;111-134;139-167;169-187;198-221;267-287;292-309;314-345;357-379;404-427;437-464,,
KAI7845174.1,GO:0005739,C:mitochondrion,0.72,,1-67,,,,
KAI7845183.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-22,,,108-132;139-159;210-236;243-269;302-322;327-345;357-370;402-423,,857-857
KAI7845187.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845195.1,GO:0009507,C:chloroplast,1.0,,,,,,
KAI7845197.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845206.1,GO:0005739,C:mitochondrion,0.55,,1-27,,,,
KAI7845218.1,GO:0009535,C:chloroplast thylakoid membrane,0.85,,,1-59,126-143,,
KAI7845224.1,GO:0031966,C:mitochondrial membrane,0.82,,1-71,,280-298,,
KAI7845228.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845254.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845260.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845264.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845266.1,GO:0009543,C:chloroplast thylakoid lumen,0.83,,,1-33,,,
KAI7845283.1,GO:0009507,C:chloroplast,0.97,,,,,,
KAI7845284.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845286.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845297.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845298.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845312.1,GO:0031090,C:organelle membrane,0.82,,,,14-34,,
KAI7845320.1,GO:0005615,C:extracellular space,0.99,1-22,,,,,
KAI7845326.1,GO:0031966,C:mitochondrial membrane,0.45,,1-17,,805-816;875-890,,
KAI7845327.1,GO:0031966,C:mitochondrial membrane,0.47,,1-17,,848-859;919-933,,
KAI7845328.1,GO:0005886,C:plasma membrane,1.0,,,,63-81;186-200;926-937,,
KAI7845337.1,GO:0005739,C:mitochondrion,0.86,,1-35,,,,
KAI7845340.1,GO:0005739,C:mitochondrion,0.97,,1-60,,,,
KAI7845342.1,GO:0005886,C:plasma membrane,0.86,,,,289-300,,
KAI7845346.1,GO:0005886,C:plasma membrane,0.96,,,,47-59;326-345;376-394;690-708;827-848;859-877;1615-1626;2076-2095,,
KAI7845347.1,GO:0012505,C:endomembrane system,0.83,,,,84-100;170-195,,
KAI7845349.1,GO:0005886,C:plasma membrane,0.93,,,,115-144;167-194;196-207;239-267;273-298;347-378;388-418;1019-1048;1066-1090;1092-1103;1136-1163;1167-1190;1244-1275;1283-1309,,
KAI7845351.1,GO:0012505,C:endomembrane system,0.91,,,,148-176;190-217;223-244;251-272;276-297;322-341;363-389,,
KAI7845353.1,GO:0031090,C:organelle membrane,0.77,,,,5-25;125-136,,
KAI7845357.1,GO:0005615,C:extracellular space,0.86,1-21,,,,,
KAI7845365.1,GO:0005739,C:mitochondrion,0.65,,1-27,,,,
KAI7845366.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845368.1,GO:0005886,C:plasma membrane,0.9,1-29,,,307-322;566-577;603-617,,
KAI7845370.1,GO:0005886,C:plasma membrane,0.84,,,,52-77;87-109;247-274;289-319;754-788;796-817;837-863;897-917;932-952;968-990,,
KAI7845376.1,GO:0005886,C:plasma membrane,0.92,,,,69-87,,
KAI7845382.1,GO:0005886,C:plasma membrane,0.49,,,,12-31;689-703,,
KAI7845383.1,GO:0005886,C:plasma membrane,0.41,,,,12-31;689-703,,
KAI7845388.1,GO:0005886,C:plasma membrane,0.94,,,,33-57;81-103;110-129;134-158;168-190;199-218;288-314;329-351;357-379;391-415;427-449;457-476,,
KAI7845398.1,GO:0012505,C:endomembrane system,0.78,,,,20-49;51-65,,
KAI7845401.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845407.1,GO:0005886,C:plasma membrane,0.68,,,,1356-1376,,
KAI7845411.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845413.1,GO:0005886,C:plasma membrane,0.95,1-42,,,515-538,,
KAI7845440.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845444.1,GO:0031090,C:organelle membrane,0.85,,,,26-50,,
KAI7845460.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845473.1,GO:0005739,C:mitochondrion,0.87,,1-40,,,,
KAI7845479.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845486.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845494.1,GO:0012505,C:endomembrane system,0.79,1-26,,,32-49,,
KAI7845496.1,GO:0046658,C:anchored component of plasma membrane,1.0,1-24,,,,,1489-1489
KAI7845499.1,GO:0009707,C:chloroplast outer membrane,0.68,,,1-30,335-346,,
KAI7845500.1,GO:0012505,C:endomembrane system,0.81,,,,16-35;40-74;115-137;154-175;181-204;229-246,,
KAI7845510.1,GO:0031966,C:mitochondrial membrane,0.82,,1-35,,187-211;230-255;262-283;293-316;451-479;502-530;742-776;787-810,,
KAI7845514.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845517.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845532.1,GO:0031090,C:organelle membrane,0.96,,,,253-264,,
KAI7845546.1,GO:0031090,C:organelle membrane,0.54,,,,152-179;189-219;630-657;661-680;698-725;736-756;769-792;814-835,,
KAI7845549.1,GO:0005737,C:cytoplasm,1.0,,,,,,
KAI7845554.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845556.1,GO:0012505,C:endomembrane system,0.91,,,,307-335;463-485;519-540;577-602,,
KAI7845568.1,GO:0005886,C:plasma membrane,0.54,,,,24-54;68-86;177-191,,
KAI7845569.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845572.1,GO:0031090,C:organelle membrane,0.9,,,,7-28;30-58;68-79;81-92,,
KAI7845573.1,GO:0005737,C:cytoplasm,0.7,,,,,,
KAI7845577.1,GO:0009535,C:chloroplast thylakoid membrane,0.59,,,1-47,882-893,,
KAI7845585.1,GO:0009535,C:chloroplast thylakoid membrane,0.83,,,1-32,145-156,,
KAI7845587.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845588.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845595.1,GO:0005615,C:extracellular space,0.94,,,,,,
KAI7845602.1,GO:0005886,C:plasma membrane,0.82,,,,794-805,,
KAI7845610.1,GO:0005634,C:nucleus,1.0,,,,,,
KAI7845616.1,GO:0005615,C:extracellular space,1.0,,,,,,
KAI7845617.1,GO:0009535,C:chloroplast thylakoid membrane,0.63,,,1-29,71-87;199-210;441-454,,
KAI7845624.1,GO:0009707,C:chloroplast outer membrane,0.8,,,1-28,293-304,,
KAI7845627.1,GO:0012505,C:endomembrane system,0.73,,,,238-249;261-280,,
KAI7845641.1,GO:0005634,C:nucleus,1.0,,,,,,
